This is a console dump of the SB_Controllers_03_BacktestReturnsExpectedResults to allow us to compare against future changes.

"Symbol|           Open Date| Entry Price|          Close Date|  Exit Price|  Share Diff|  Ttl Shares|   Total P&L|
|   AMD| 06/23/2021 00:00:00|       83.82| 06/24/2021 00:00:00|        86.1|        2.28|           2|        4.56|
|   AMD| 07/09/2021 00:00:00|        90.9| 07/20/2021 00:00:00|       87.11|       -3.79|           2|       -7.58|
|   AMD| 07/28/2021 00:00:00|       97.93| 07/29/2021 00:00:00|      102.95|        5.02|           2|       10.04|
|   AMD| 08/03/2021 00:00:00|      112.56| 08/04/2021 00:00:00|      118.77|        6.21|           1|        6.21|
|   AMD| 08/13/2021 00:00:00|      110.55| 08/20/2021 00:00:00|      104.65|        -5.9|           1|        -5.9|
|   AMD| 08/27/2021 00:00:00|       111.4| 09/14/2021 00:00:00|      105.73|       -5.67|           1|       -5.67|
|   AMD| 09/21/2021 00:00:00|      102.82| 09/22/2021 00:00:00|      104.38|        1.56|           1|        1.56|
|   AMD| 09/30/2021 00:00:00|       102.9| 10/06/2021 00:00:00|      103.64|        0.74|           1|        0.74|
|   AMD| 10/13/2021 00:00:00|      109.16| 10/14/2021 00:00:00|      111.99|        2.83|           1|        2.83|
|   AMD| 10/20/2021 00:00:00|      116.39| 10/21/2021 00:00:00|      119.33|        2.94|           1|        2.94|
|   AMD| 10/26/2021 00:00:00|      122.93| 11/01/2021 00:00:00|      125.23|         2.3|           1|         2.3|
|   AMD| 11/04/2021 00:00:00|       137.5| 11/08/2021 00:00:00|      150.16|       12.66|           1|       12.66|
|   AMD| 11/12/2021 00:00:00|      147.89| 11/16/2021 00:00:00|      152.45|        4.56|           1|        4.56|
|   AMD| 11/19/2021 00:00:00|      155.41| 11/24/2021 00:00:00|       157.8|        2.39|           1|        2.39|
|   AMD| 12/02/2021 00:00:00|      150.68| 12/07/2021 00:00:00|      144.85|       -5.83|           1|       -5.83|
|   AMD| 12/14/2021 00:00:00|       135.6| 12/15/2021 00:00:00|       146.5|        10.9|           1|        10.9|
|   AMD| 12/23/2021 00:00:00|      146.14| 12/27/2021 00:00:00|      154.36|        8.22|           1|        8.22|
|   AMD| 01/06/2022 00:00:00|      136.23| 01/11/2022 00:00:00|      137.31|        1.08|           1|        1.08|
|   AMD| 01/28/2022 00:00:00|      105.24| 01/31/2022 00:00:00|      114.25|        9.01|           1|        9.01|
|   AMD| 02/04/2022 00:00:00|       123.6| 02/07/2022 00:00:00|      123.67|        0.07|           1|        0.07|
|   AMD| 02/14/2022 00:00:00|      114.27| 02/15/2022 00:00:00|      121.47|         7.2|           1|         7.2|
|   AMD| 02/22/2022 00:00:00|      115.65| 02/24/2022 00:00:00|      116.61|        0.96|           1|        0.96|
|   AMD| 03/02/2022 00:00:00|      118.28| 03/09/2022 00:00:00|      111.05|       -7.23|           1|       -7.23|
|   AMD| 03/16/2022 00:00:00|      115.37| 03/21/2022 00:00:00|      115.92|        0.55|           1|        0.55|
|   AMD| 03/28/2022 00:00:00|      120.24| 03/29/2022 00:00:00|      123.23|        2.99|           1|        2.99|
|   AMD| 04/07/2022 00:00:00|      103.72| 04/13/2022 00:00:00|       97.74|       -5.98|           1|       -5.98|
|   AMD| 04/19/2022 00:00:00|       96.93| 04/25/2022 00:00:00|       90.69|       -6.24|           2|      -12.48|
|   AMD| 05/06/2022 00:00:00|       95.34| 05/13/2022 00:00:00|       95.12|       -0.22|           2|       -0.44|
|   AMD| 05/19/2022 00:00:00|       96.67| 05/26/2022 00:00:00|       98.75|        2.08|           2|        4.16|
|   AMD| 06/15/2022 00:00:00|        89.3|                    |       82.05|       -7.25|           2|       -14.5|
"
